,lat,lon,h_li,x_atc,q_flag
259,34.19548019624707,74.99278615929126,3082.867,3803323.282035697,1.0
260,34.195660115135894,74.99276554485544,3090.75,3803343.3312947867,1.0
261,34.195840089960946,74.9927456065281,3096.031,3803363.380553726,1.0
262,34.1960202074721,74.9927274930431,3093.5093,3803383.4298125147,1.0
263,34.19620060453171,74.99271287937336,3073.5964,3803403.4790711533,1.0
264,34.19638093151488,74.99269736015356,3057.86,3803423.528329642,1.0
265,34.203542245276054,74.99142832950338,5259.7373,3804225.4985458716,1.0
266,34.204269368886585,74.99143931921444,4894.945,3804305.6955542606,1.0
267,34.20444941933622,74.99142034321667,4895.164,3804325.7448059814,1.0
269,34.208588309969144,74.99095570582358,4995.986,3804786.877554057,1.0
270,34.208947158858884,74.99090208754603,5064.8047,3804826.9760501306,1.0
271,34.20912721740759,74.99088321158999,5064.8047,3804847.0252979407,1.0
272,34.20930748111605,74.99086693179711,5055.5894,3804867.0745456,1.0
273,34.20948726232202,74.99084459983851,5071.5376,3804887.1237931093,1.0
274,34.20966702544609,74.99082202474813,5086.1035,3804907.1730404687,1.0
275,34.20984688760807,74.99080065280506,5097.264,3804927.222287677,1.0
276,34.21002707202906,74.99078338008405,5090.3203,3804947.2715347353,1.0
277,34.21020736703696,74.99076750645563,5074.9077,3804967.3207816435,1.0
278,34.21038728955596,74.99074693264802,5080.9375,3804987.3700284013,1.0
279,34.210567550231346,74.99073058741948,5069.1187,3805007.419275007,1.0
280,34.210747647458845,74.99071221704583,5065.171,3805027.468521464,1.0
281,34.227908628010226,74.98961559599604,1866.3707,3806932.1462486745,1.0
282,34.22808268729212,74.98959675320862,1866.1855,3806952.1954806834,0.0
283,34.22825495911506,74.98957784864862,1867.6417,3806972.2447125427,0.0
284,34.228448677229906,74.9895574613158,1865.6401,3806992.2939442503,0.0
285,34.22862872014613,74.98953837837314,1864.2747,3807012.343175809,1.0
286,34.22880873720215,74.9895190293933,1863.9248,3807032.3924072157,1.0
296,34.3003184187694,74.98013738422688,5249.167,3815011.9745426797,1.0
